2026-05-06 17:38:48.895 | DEBUG | lever | [SYNUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:49.780 | DEBUG | lever | [SUNUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:50.480 | DEBUG | lever | [MBOXUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:51.010 | DEBUG | lever | [U1000000BABYDOGEUSDT] Skip: Symbol not found or not supported
2026-05-06 17:38:51.753 | DEBUG | lever | [NEIROUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:52.524 | DEBUG | lever | [POLUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:53.229 | DEBUG | lever | [FIDAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:53.934 | DEBUG | lever | [CATIUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:54.673 | DEBUG | lever | [HMSTRUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:55.380 | DEBUG | lever | [DIAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:56.087 | DEBUG | lever | [EIGENUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:56.888 | DEBUG | lever | [U1000CATUSDT] Skip: Symbol not found or not supported
2026-05-06 17:38:58.450 | DEBUG | lever | [DEEPUSDT] Setup OK: 10x (Cross)
2026-05-06 17:38:59.163 | DEBUG | lever | [SCRUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:00.053 | DEBUG | lever | [MOODENGUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:00.760 | DEBUG | lever | [GOATUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:01.459 | DEBUG | lever | [SANTOSUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:02.163 | DEBUG | lever | [SAFEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:02.949 | DEBUG | lever | [GRASSUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:03.652 | DEBUG | lever | [CETUSUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:04.358 | DEBUG | lever | [COWUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:04.854 | DEBUG | lever | [U1000000MOGUSDT] Skip: Symbol not found or not supported
2026-05-06 17:39:05.755 | DEBUG | lever | [DRIFTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:06.458 | DEBUG | lever | [PNUTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:07.158 | DEBUG | lever | [ACTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:07.858 | DEBUG | lever | [AKTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:08.562 | DEBUG | lever | [BANUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:09.259 | DEBUG | lever | [SCRTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:09.803 | DEBUG | lever | [U1000CHEEMSUSDT] Skip: Symbol not found or not supported
2026-05-06 17:39:10.505 | DEBUG | lever | [CHILLGUYUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:11.224 | DEBUG | lever | [MORPHOUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:11.918 | DEBUG | lever | [THEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:12.619 | DEBUG | lever | [AEROUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:13.349 | DEBUG | lever | [KAIAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:14.059 | DEBUG | lever | [MOVEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:14.856 | DEBUG | lever | [ORCAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:15.603 | DEBUG | lever | [ACXUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:16.496 | DEBUG | lever | [SPXUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:17.199 | DEBUG | lever | [VIRTUALUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:18.107 | DEBUG | lever | [MEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:18.802 | DEBUG | lever | [VELODROMEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:19.495 | DEBUG | lever | [AVAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:20.213 | DEBUG | lever | [MOCAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:20.929 | DEBUG | lever | [VANAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:21.627 | DEBUG | lever | [PENGUUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:22.416 | DEBUG | lever | [HYPEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:23.119 | DEBUG | lever | [USUALUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:23.810 | DEBUG | lever | [CGPTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:24.504 | DEBUG | lever | [KMNOUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:25.204 | DEBUG | lever | [FARTCOINUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:25.897 | DEBUG | lever | [AIXBTUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:26.624 | DEBUG | lever | [DEXEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:27.325 | DEBUG | lever | [PHAUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:28.055 | DEBUG | lever | [ZEREBROUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:28.758 | DEBUG | lever | [GRIFFAINUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:29.688 | DEBUG | lever | [BIOUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:30.470 | DEBUG | lever | [SWARMSUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:31.161 | DEBUG | lever | [ALCHUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:31.865 | DEBUG | lever | [COOKIEUSDT] Setup OK: 10x (Cross)
2026-05-06 17:39:32.654 | DEBUG | lever | [DUSDT] Setup OK: 10x (Cross)
